product_id,id,date,rating,text,page
1,chocolate-candy-box-1,2022-07-22,5,Absolutely delicious! The orange flavor is my favorite.,1
1,chocolate-candy-box-2,2022-08-16,4,"I bought these as a gift, and they were well received. Will definitely purchase again.",1
1,chocolate-candy-box-3,2022-09-10,5,Nice variety of flavors. The chocolate is rich and smooth.,1
1,chocolate-candy-box-4,2022-10-02,5,The cherry flavor is amazing. Will be buying more.,1
1,chocolate-candy-box-5,2022-11-05,4,"A bit pricey, but the quality of the chocolate is worth it.",1
2,dark-red-potion-1,2023-02-12,4,The cherry cola flavor is very appealing. Provides a good energy boost for gaming!,1
2,dark-red-potion-2,2023-03-14,5,"Definitely helped me stay focused during my long gaming nights. Plus, the bottle design is pretty cool.",1
2,dark-red-potion-3,2023-04-05,5,"Great taste, and the energy kick is awesome. Feels just like a strength potion.",1
2,dark-red-potion-4,2023-05-12,5,The cherry cola flavor is a win. Keeps me energized and focused.,1
3,teal-potion-1,2023-02-12,5,The mint and citrus blend is very refreshing. And the bottle design is great too!,1
3,teal-potion-2,2023-03-14,4,"I love how it gives me the energy I need for my gaming sessions. Plus, no sugar crash.",1
3,teal-potion-3,2023-04-07,5,Really helps me focus during intense gaming marathons. The teal color is a nice touch.,1
3,teal-potion-4,2023-05-18,5,Unique flavor and great energy boost. It's the perfect gamer's drink!,1
4,red-potion-1,2023-02-10,5,The berry flavor is intense and delicious. Great for keeping me focused during my gaming sessions.,1
4,red-potion-2,2023-03-20,5,"Not only does it look cool, but it tastes great and gives a good energy boost!",1
4,red-potion-3,2023-04-09,4,It's like a health potion for gamers! The energy boost is spot on.,1
4,red-potion-4,2023-05-17,5,Good flavor and keeps me energized. The bottle design is really fun.,1
5,blue-energy-potion-1,2023-01-15,4,The design is just epic! And the energy boost is real.,1
5,blue-energy-potion-2,2023-02-20,5,Perfect for long gaming nights. Love the taste and the cool bottle design.,1
5,blue-energy-potion-3,2023-03-10,5,"Finally, an energy drink for gamers! It's just like a mana potion.",1
5,blue-energy-potion-4,2023-04-01,4,Great taste and doesn't give me a crash afterwards.,1
5,blue-energy-potion-5,2023-04-25,5,Really enjoyed the citrus flavor and the energy boost it gives.,1
6,dragon-potion-1,2023-02-18,5,"The tropical flavor is really good, and the energy kick is powerful.",1
6,dragon-potion-2,2023-03-15,5,Just what I need for long gaming sessions. Great flavor and energy boost.,1
6,dragon-potion-3,2023-04-11,5,This potion is a game changer. Love the energy boost and the flavor.,1
6,dragon-potion-4,2023-05-16,4,Excellent energy drink for gamers. The tropical flavor is refreshing.,1
7,hiking-boots-outdoor-1,2022-06-15,5,These boots are fantastic for hiking. The grip on the soles is really good.,1
7,hiking-boots-outdoor-2,2022-07-30,5,Comfortable and sturdy. Perfect for outdoor adventures.,1
7,hiking-boots-outdoor-3,2022-08-15,4,Good quality boots. They keep my feet dry and comfortable during long hikes.,1
7,hiking-boots-outdoor-4,2022-09-28,4,"These boots are durable and comfortable, but they're a bit heavy.",1
7,hiking-boots-outdoor-5,2022-10-19,5,"Great boots! The size was perfect, and they're very comfortable.",1
8,women-sandals-1,2022-06-12,5,Stylish and comfortable! I love the strappy design.,1
8,women-sandals-2,2022-07-18,4,"These sandals look great, but they're a bit tight. Maybe they'll stretch over time.",1
8,women-sandals-3,2022-08-03,5,Absolutely love these sandals! They're so elegant and surprisingly comfortable.,1
8,women-sandals-4,2022-09-27,3,"The sandals are pretty, but the heel is higher than I expected.",1
8,women-sandals-5,2022-10-14,4,"Great quality for the price. The buckle closure is secure, and the heel feels sturdy.",1
9,men-running-shoes-1,2022-07-01,5,"Great shoes for running! Comfortable and stylish, with excellent traction.",1
9,men-running-shoes-2,2022-07-20,4,Very happy with my purchase. These shoes provide good support for my morning jogs.,1
9,men-running-shoes-3,2022-08-10,3,"These shoes look good, but they wore out a bit faster than I expected.",1
9,men-running-shoes-4,2022-09-15,5,"Best running shoes I've had in a while. They're really comfortable, even on long runs.",1
